1   NORMAL
 4
T1  0.100 0.100 0.0 8
T2  0.200 0.200 0.0 7
T3  0.400 0.400 0.0 6
T4  0.800 0.800 0.0 5
:BODY
MODE_CHANGE		NORMAL		 0.003230000
START_TASK		T2		 6.824558000
STOP_TASK		T2		 6.864042000
START_TASK		T3		 6.864070000
START_TASK		T1		 6.903262000
STOP_TASK		T1		 6.922019000
STOP_TASK		T3		 6.941027000
START_TASK		T1		 7.003321000
STOP_TASK		T1		 7.025810000
START_TASK		T2		 7.025828000
STOP_TASK		T2		 7.069528000
START_TASK		T1		 7.103323000
STOP_TASK		T1		 7.124852000
START_TASK		T1		 7.203303000
STOP_TASK		T1		 7.222044000
START_TASK		T2		 7.222061000
STOP_TASK		T2		 7.266460000
START_TASK		T3		 7.266494000
START_TASK		T1		 7.303311000
STOP_TASK		T1		 7.324591000
STOP_TASK		T3		 7.352557000
STOP_TASK		T4		 7.402826000
START_TASK		T4		 7.402854000
START_TASK		T1		 7.403314000
STOP_TASK		T1		 7.424759000
START_TASK		T2		 7.424775000
STOP_TASK		T2		 7.468153000
START_TASK		T1		 7.503312000
STOP_TASK		T1		 7.524830000
START_TASK		T1		 7.603267000
STOP_TASK		T1		 7.629779000
START_TASK		T2		 7.629802000
STOP_TASK		T2		 7.674150000
START_TASK		T3		 7.674167000
START_TASK		T1		 7.703280000
STOP_TASK		T1		 7.722150000
STOP_TASK		T3		 7.751983000
START_TASK		T1		 7.803261000
STOP_TASK		T1		 7.827242000
START_TASK		T2		 7.827269000
STOP_TASK		T2		 7.871870000
START_TASK		T1		 7.903257000
STOP_TASK		T1		 7.922046000
START_TASK		T1		 8.003260000
STOP_TASK		T1		 8.022164000
START_TASK		T2		 8.022181000
STOP_TASK		T2		 8.068495000
START_TASK		T3		 8.068526000
START_TASK		T1		 8.103269000
STOP_TASK		T1		 8.122155000
STOP_TASK		T3		 8.143614000
STOP_TASK		T4		 8.156396000
START_TASK		T4		 8.156408000
START_TASK		T1		 8.203254000
STOP_TASK		T1		 8.222440000
START_TASK		T2		 8.222461000
STOP_TASK		T2		 8.259954000
START_TASK		T1		 8.303313000
STOP_TASK		T1		 8.324652000
START_TASK		T1		 8.403283000
STOP_TASK		T1		 8.422245000
START_TASK		T2		 8.422263000
STOP_TASK		T2		 8.459855000
START_TASK		T3		 8.459874000
START_TASK		T1		 8.503314000
STOP_TASK		T1		 8.524834000
STOP_TASK		T3		 8.540913000
START_TASK		T1		 8.603297000
STOP_TASK		T1		 8.622081000
START_TASK		T2		 8.622099000
STOP_TASK		T2		 8.659497000
START_TASK		T1		 8.703262000
STOP_TASK		T1		 8.722179000
STOP_TASK		T4		 8.727034000
START_TASK		T1		 8.803283000
STOP_TASK		T1		 8.823642000
START_TASK		T2		 8.823660000
STOP_TASK		T2		 8.861088000
START_TASK		T3		 8.861103000
START_TASK		T1		 8.903309000
STOP_TASK		T1		 8.924863000
STOP_TASK		T3		 8.949965000
START_TASK		T4		 8.949980000
START_TASK		T1		 9.003320000
STOP_TASK		T1		 9.024856000
START_TASK		T2		 9.024873000
STOP_TASK		T2		 9.064309000
START_TASK		T1		 9.103308000
STOP_TASK		T1		 9.128223000
START_TASK		T1		 9.203307000
STOP_TASK		T1		 9.222126000
START_TASK		T2		 9.222142000
STOP_TASK		T2		 9.265628000
START_TASK		T3		 9.265645000
START_TASK		T1		 9.303251000
STOP_TASK		T1		 9.322116000
STOP_TASK		T3		 9.346409000
START_TASK		T1		 9.403259000
STOP_TASK		T1		 9.422005000
START_TASK		T2		 9.422020000
STOP_TASK		T2		 9.464540000
START_TASK		T1		 9.503257000
STOP_TASK		T1		 9.522324000
STOP_TASK		T4		 9.545429000
START_TASK		T1		 9.603271000
STOP_TASK		T1		 9.623438000
START_TASK		T2		 9.623471000
STOP_TASK		T2		 9.663382000
START_TASK		T3		 9.663408000
START_TASK		T1		 9.703268000
STOP_TASK		T1		 9.722211000
STOP_TASK		T3		 9.747822000
START_TASK		T4		 9.747841000
START_TASK		T1		 9.803327000
STOP_TASK		T1		 9.824745000
START_TASK		T2		 9.824778000
STOP_TASK		T2		 9.863434000
START_TASK		T1		 9.903309000
STOP_TASK		T1		 9.928084000
START_TASK		T1		 10.003304000
STOP_TASK		T1		 10.022054000
START_TASK		T2		 10.022071000
STOP_TASK		T2		 10.067360000
START_TASK		T3		 10.067388000
START_TASK		T1		 10.103282000
STOP_TASK		T1		 10.122060000
STOP_TASK		T3		 10.160437000
START_TASK		T1		 10.203309000
STOP_TASK		T1		 10.222016000
START_TASK		T2		 10.222035000
STOP_TASK		T2		 10.269552000
START_TASK		T1		 10.303302000
STOP_TASK		T1		 10.322095000
STOP_TASK		T4		 10.366409000
START_TASK		T1		 10.403277000
STOP_TASK		T1		 10.422015000
START_TASK		T2		 10.422035000
STOP_TASK		T2		 10.459812000
START_TASK		T3		 10.459828000
START_TASK		T1		 10.503326000
STOP_TASK		T1		 10.524783000
STOP_TASK		T3		 10.548757000
START_TASK		T4		 10.548777000
START_TASK		T1		 10.603260000
STOP_TASK		T1		 10.622072000
START_TASK		T2		 10.622089000
STOP_TASK		T2		 10.671501000
START_TASK		T1		 10.703303000
STOP_TASK		T1		 10.722863000
START_TASK		T1		 10.803354000
STOP_TASK		T1		 10.828076000
START_TASK		T2		 10.828096000
STOP_TASK		T2		 10.871639000
START_TASK		T3		 10.871656000
START_TASK		T1		 10.903313000
STOP_TASK		T1		 10.924630000
STOP_TASK		T3		 10.953069000
START_TASK		T1		 11.003287000
STOP_TASK		T1		 11.027133000
START_TASK		T2		 11.027149000
STOP_TASK		T2		 11.071656000
START_TASK		T1		 11.103320000
STOP_TASK		T1		 11.122319000
STOP_TASK		T4		 11.160517000
